"distance:vector SingleCell_Standalone.ue[0].cellularNic.nrChannelModel[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",,"throughput:vector SingleCell_Standalone.ue[0].app[0] ($packetLen=1000B, #0 - Multiple-UEs-0-20240120-23:12:54-148370)",
3.24,98.129724340978981,22.5,320000
3.242,98.129724340978981,22.6,480000
3.26,98.4301475199929992,22.7,400000
3.261,98.4301475199929992,22.8,400000
3.28,98.5566297023019896,22.9,400000
3.282,98.5566297023019896,23,400000
3.3,99.1578925658509998,23.1,400000
3.302,99.1578925658509998,23.2,400000
3.32,99.2686951949279998,23.3,400000
3.322,99.2686951949279998,23.4,320000
3.34,99.569512993393999,23.5,480000
3.342,99.822909596944981,23.6,400000
3.36,99.822909596944981,23.7,400000
3.362,100.123907957469981,23.8,400000
3.38,100.123907957469981,23.9,400000
3.382,100.4408528616199871,24,400000
3.4,100.7420489130300036,24.1,320000
3.401,100.7420489130300036,24.2,480000
3.42,100.7420489130300036,24.3,400000
3.421,100.7420489130300036,24.4,400000
3.44,101.0751228285099895,24.5,400000
3.442,101.0751228285099895,24.6,400000
3.46,101.6779918213800041,24.7,400000
3.461,101.6779918213800041,24.8,400000
3.48,102.0112750054099988,24.9,400000
3.481,102.0112750054099988,25,400000
3.5,102.328837373869987,25.1,400000
3.501,102.328837373869987,25.2,400000
3.52,102.5512534701399825,25.3,400000
3.522,102.5512534701399825,25.4,400000
3.54,102.8689564396800048,25.5,400000
3.541,102.8689564396800048,25.6,400000
3.56,103.2344380201599843,25.7,400000
3.561,103.2344380201599843,25.8,400000
3.58,103.5206170864499878,25.9,400000
3.582,103.5206170864499878,26,400000
3.6,103.9181373744899868,26.1,400000
3.601,103.9181373744899868,26.2,400000
3.62,104.2045319561899813,26.3,400000
3.621,104.2045319561899813,26.4,400000
3.64,104.4591138762299915,26.5,400000
3.642,104.4591138762299915,26.6,400000
3.66,104.8091998365899823,26.7,400000
3.662,104.8091998365899823,26.8,400000
3.68,105.1594675752899942,26.9,400000
3.682,105.1594675752899942,27,400000
3.7,105.5098354205699986,27.1,400000
3.702,105.5098354205699986,27.2,400000
3.72,105.6054111943300025,27.3,400000
3.722,105.6054111943300025,27.4,0
3.74,106.0515398503799813,27.5,720000
3.742,106.0515398503799813,27.6,400000
3.76,106.3862716639000038,27.7,400000
3.761,106.3862716639000038,27.8,400000
3.78,106.721063734739999,27.9,400000
3.781,106.721063734739999,28,400000
3.8,107.103824598239981,28.1,400000
3.801,107.103824598239981,28.2,320000
3.82,107.3910120624200028,28.3,480000
3.822,107.3910120624200028,28.4,400000
3.84,107.662263223029981,28.5,400000
3.841,107.662263223029981,28.6,400000
3.86,107.9815206194599848,28.7,400000
3.862,108.0772589247199841,28.8,400000
3.88,108.0772589247199841,28.9,400000
3.882,108.0772589247199841,29,400000
3.9,108.700004115289999,29.1,400000
3.902,108.700004115289999,29.2,400000
3.92,108.827790213539998,29.3,400000
3.922,109.0355340827800029,29.4,400000
3.94,109.3231356161699916,29.5,400000
3.942,109.3231356161699916,29.6,400000
3.96,109.3231356161699916,29.7,400000
3.962,109.674708336599991,29.8,400000
3.98,109.674708336599991,29.9,400000
3.982,109.674708336599991,30,400000
4,110.2982788793999867,30.1,400000
4.002,110.2982788793999867,30.2,400000
4.02,110.4582180937999848,30.3,400000
4.021,110.4582180937999848,30.4,400000
4.04,110.8581592463000046,30.5,400000
4.041,110.8581592463000046,30.6,400000
4.06,111.2262026975299986,30.7,400000
4.061,111.2262026975299986,30.8,400000
4.08,111.5463928935899953,30.9,400000
4.082,111.5463928935899953,31,400000
4.1,111.8985591098099798,31.1,400000
4.102,111.8985591098099798,31.2,400000
4.12,111.8985591098099798,31.3,400000
4.121,111.8985591098099798,31.4,400000
4.14,112.4110583520899804,31.5,400000
4.141,112.4110583520899804,31.6,400000
4.16,112.7796003095099873,31.7,400000
4.161,112.7796003095099873,31.8,400000
4.18,113.1481151494500063,31.9,400000
4.181,113.1481151494500063,32,400000
4.2,113.5007599795999903,32.1,400000
4.201,113.5007599795999903,32.2,320000
4.22,113.5007599795999903,32.3,480000
4.222,113.5007599795999903,32.4,400000
4.24,113.9978195762899981,32.5,400000
4.241,114.1581987225000031,32.6,400000
4.26,114.4629688608600016,32.7,400000
4.262,114.4790598914399875,32.8,400000
4.28,114.7196676535699845,32.9,240000
4.281,114.7998953964499829,33,480000
4.3,115.1048012857899888,33.1,400000
4.302,115.1048012857899888,33.2,400000
4.32,115.1529501558800059,33.3,400000
4.321,115.1529501558800059,33.4,400000
4.34,115.6345257492099841,33.5,400000
4.341,115.6345257492099841,33.6,400000
4.36,116.0520180136300038,33.7,400000
4.362,116.0520180136300038,33.8,400000
4.38,116.0520180136300038,33.9,400000
4.382,116.4053716385499792,34,400000
4.4,116.7106071449099996,34.1,400000
4.402,116.7106071449099996,34.2,400000
4.42,117.0319736726399921,34.3,400000
4.422,117.0319736726399921,34.4,400000
4.44,117.3213243343599852,34.5,400000
4.442,117.3213243343599852,34.6,400000
4.46,117.5945605430299843,34.7,400000
4.461,117.5945605430299843,34.8,400000
4.48,117.7713705789499835,34.9,400000
4.482,118.012617334869986,35,400000
4.5,118.318105711800001,35.1,400000
4.502,118.318105711800001,35.2,400000
4.52,118.4467766583999828,35.3,400000
4.521,118.4467766583999828,35.4,400000
4.54,118.8650920511200008,35.5,400000
4.542,118.8650920511200008,35.6,400000
4.56,119.2512523588000016,35.7,400000
4.561,119.2512523588000016,35.8,400000
4.58,119.5087102557599787,35.9,400000
4.581,119.5087102557599787,36,400000
4.6,119.9272289195500031,36.1,400000
4.602,119.9272289195500031,36.2,400000
4.62,120.2170874793199852,36.3,400000
4.622,120.2170874793199852,36.4,400000
4.64,120.5552621727200058,36.5,400000
4.642,120.5552621727200058,36.6,400000
4.66,120.8934556873099945,36.7,400000
4.661,120.8934556873099945,36.8,400000
4.68,121.167320177109985,36.9,400000
4.682,121.167320177109985,37,400000
4.7,121.5379122390099833,37.1,400000
4.701,121.5379122390099833,37.2,400000
4.72,121.828045071139996,37.3,400000
4.721,121.828045071139996,37.4,400000
4.74,122.1826085795100021,37.5,400000
4.741,122.1826085795100021,37.6,400000
4.76,122.4889222480699966,37.7,400000
4.762,122.4889222480699966,37.8,400000
4.78,122.7952887674299797,37.9,400000
4.781,122.7952887674299797,38,400000
4.8,123.1500944559499823,38.1,400000
4.801,123.1500944559499823,38.2,400000
4.82,123.4081787840799785,38.3,400000
4.822,123.4081787840799785,38.4,400000
4.84,123.7631380671699896,38.5,400000
4.842,123.7631380671699896,38.6,400000
4.86,123.7631380671699896,38.7,400000
4.862,123.7631380671699896,38.8,400000
4.88,124.3440460239099816,38.9,400000
4.882,124.3440460239099816,39,400000
4.9,124.7637174646699801,39.1,400000
4.902,124.7637174646699801,39.2,400000
4.92,125.0220271247299872,39.3,400000
4.922,125.0220271247299872,39.4,400000
4.94,125.3934433325700007,39.5,400000
4.942,125.3934433325700007,39.6,400000
4.96,125.7164285810999895,39.7,400000
4.962,125.7164285810999895,39.8,400000
4.98,126.0395256533199977,39.9,400000
4.982,126.0395256533199977,40,400000
5,126.3787260764199795,40.1,400000
5.002,126.3787260764199795,40.2,400000
5.02,126.7018894092599902,40.3,400000
5.022,126.7018894092599902,40.4,400000
5.04,126.9766198593199813,40.5,400000
5.041,127.0251056530800036,40.6,400000
5.06,127.2998807605399913,40.7,400000
5.061,127.3645392137599966,40.8,400000
5.08,127.6393608464099993,40.9,400000
5.081,127.6393608464099993,41,400000
5.1,127.995067841659988,41.1,400000
5.101,127.995067841659988,41.2,400000
5.12,128.2215229603800133,41.3,400000
5.121,128.2215229603800133,41.4,320000
5.14,128.5449187997400026,41.5,0
5.142,128.5449187997400026,41.6,800000
5.16,128.8037229744899713,41.7,400000
5.161,128.8037229744899713,41.8,400000
5.18,129.1596313041999901,41.9,400000
5.181,129.1596313041999901,42,400000
5.2,129.6126928849399741,42.1,400000
5.202,129.6126928849399741,42.2,400000
5.22,129.7259734564700006,42.3,400000
5.222,129.9687378526600122,42.4,400000
5.24,129.9687378526600122,42.5,400000
5.242,129.9687378526600122,42.6,400000
5.26,130.502922403370007,42.7,400000
5.261,130.502922403370007,42.8,400000
5.28,130.8267454370799778,42.9,400000
5.282,130.8267454370799778,43,400000
5.3,131.2315537512999976,43.1,400000
5.302,131.2315537512999976,43.2,400000
5.32,131.2315537512999976,43.3,320000
5.322,131.5554702091799863,43.4,480000
5.34,131.5554702091799863,43.5,400000
5.341,131.5554702091799863,43.6,400000
5.36,131.9118328940899682,43.7,400000
5.361,131.9118328940899682,43.8,400000
5.38,132.430314261320006,43.9,400000
5.381,132.430314261320006,44,400000
5.4,132.8516052634499825,44.1,400000
5.402,132.8516052634499825,44.2,400000
5.42,133.0947621975099647,44.3,400000
5.421,133.0947621975099647,44.4,400000
5.44,133.4189604646199992,44.5,400000
5.441,133.4189604646199992,44.6,400000
5.46,133.7431457115399663,44.7,400000
5.461,133.7431457115399663,44.8,400000
5.48,134.0836141630699667,44.9,400000
5.481,134.0836141630699667,45,400000
5.5,134.4728043887199641,45.1,400000
5.502,134.48902808099001,45.2,400000
5.52,134.48902808099001,45.3,400000
5.521,134.48902808099001,45.4,400000
5.54,134.9269401629300087,45.5,400000
5.542,134.9269401629300087,45.6,400000
5.56,134.9269401629300087,45.7,400000
5.562,134.9269401629300087,45.8,400000
5.58,135.4947305385400108,45.9,400000
5.581,135.4947305385400108,46,400000
5.6,136.0951101151799772,46.1,400000
5.601,136.0951101151799772,46.2,400000
5.62,136.3872396200000021,46.3,400000
5.621,136.3872396200000021,46.4,400000
5.64,136.72815006351999,46.5,400000
5.641,136.72815006351999,46.6,400000
5.66,137.0527796853700118,46.7,400000
5.661,137.0527796853700118,46.8,400000
5.68,137.3775220365699845,46.9,400000
5.682,137.3775220365699845,47,400000
5.7,137.7184833359600015,47.1,400000
5.701,137.7184833359600015,47.2,400000
5.72,137.99456023606001,47.3,400000
5.721,137.99456023606001,47.4,400000
5.74,138.3519147009599803,47.5,400000
5.741,138.3519147009599803,47.6,400000
5.76,138.6767936467599606,47.7,400000
5.761,138.6767936467599606,47.8,400000
5.78,138.9366912859599662,47.9,400000
5.782,138.9366912859599662,48,400000
5.8,139.3428867414799578,48.1,400000
5.802,139.3428867414799578,48.2,400000
5.82,139.6354063124599628,48.3,400000
5.821,139.6354063124599628,48.4,400000
5.84,139.9929285232900038,48.5,320000
5.842,139.9929285232900038,48.6,0
5.86,140.2855471768500018,48.7,720000
5.862,140.2855471768500018,48.8,0
5.88,140.5619079591500048,48.9,800000
5.882,140.6594335209599642,49,400000
5.9,140.9682847187399935,49.1,80000
5.901,140.9682847187399935,49.2,640000
5.92,141.1633976799799933,49.3,400000
5.922,141.1633976799799933,49.4,160000
5.94,141.5374667498999766,49.5,240000
5.942,141.5374667498999766,49.6,640000
5.96,141.7162923431899907,49.7,480000
5.962,141.9602573389399818,49.8,320000
5.98,141.9602573389399818,49.9,80000
5.981,141.9602573389399818,50,720000
6,142.5946432571599868,50.1,400000
6.001,142.5946432571599868,50.2,400000
6.02,142.627180000009957,50.3,400000
6.022,142.9363616648299733,50.4,400000
6.04,142.9363616648299733,50.5,400000
6.042,142.9363616648299733,50.6,400000
6.06,143.2942646088599755,50.7,400000
6.062,143.6034536318300066,50.8,400000
6.08,143.6034536318300066,50.9,400000
6.081,143.6034536318300066,51,400000
6.1,144.2219298606599971,51.1,400000
6.102,144.2219298606599971,51.2,400000
6.12,144.2870401844799625,51.3,400000
6.122,144.2870401844799625,51.4,400000
6.14,144.8405702610399991,51.5,400000
6.142,144.8405702610399991,51.6,400000
6.16,145.166203694639989,51.7,400000
6.161,145.166203694639989,51.8,400000
6.18,145.443004671300002,51.9,400000
6.181,145.443004671300002,52,400000
6.2,145.8501134652499895,52.1,400000
6.201,145.8501134652499895,52.2,160000
6.22,146.175855188890011,52.3,560000
6.222,146.175855188890011,52.4,400000
6.24,146.4690522067799627,52.5,400000
6.242,146.4690522067799627,52.6,400000
6.26,146.7459859774700128,52.7,400000
6.261,146.7459859774700128,52.8,400000
6.28,147.1044073621399657,52.9,400000
6.282,147.1044073621399657,53,400000
6.3,147.4791643620199575,53.1,400000
6.301,147.4791643620199575,53.2,240000
6.32,147.7725029851100085,53.3,560000
6.322,147.7725029851100085,53.4,400000
6.34,147.7725029851100085,53.5,400000
6.342,147.7725029851100085,53.6,400000
6.36,148.1962141458099601,53.7,400000
6.361,148.1962141458099601,53.8,400000
6.38,148.7667437573300043,53.9,400000
6.381,148.7667437573300043,54,400000
6.4,149.1090541248699987,54.1,400000
6.401,149.1090541248699987,54.2,400000
6.42,149.3699124990999957,54.3,400000
6.421,149.3699124990999957,54.4,400000
6.44,149.7286325663599762,54.5,400000
6.441,149.7286325663599762,54.6,400000
6.46,149.7286325663599762,54.7,400000
6.461,149.7286325663599762,54.8,400000
6.48,150.3483145923900102,54.9,400000
6.482,150.3483145923900102,55,400000
6.5,150.7397555428199775,55.1,400000
6.502,150.7397555428199775,55.2,400000
6.52,150.9354930070500126,55.3,400000
6.521,150.9354930070500126,55.4,400000
6.54,151.3270016938000133,55.5,400000
6.541,151.3270016938000133,55.6,400000
6.56,151.7022394875700108,55.7,240000
6.561,151.7022394875700108,55.8,560000
6.58,152.0286159022599571,55.9,320000
6.582,152.0286159022599571,56,480000
6.6,152.3712425564700078,56.1,240000
6.601,152.3712425564700078,56.2,320000
6.62,152.6976320149699968,56.3,560000
6.621,152.6976320149699968,56.4,400000
6.64,152.6976320149699968,56.5,400000
6.642,152.6976320149699968,56.6,400000
6.66,153.1872728182700025,56.7,320000
6.661,153.1872728182700025,56.8,480000
6.68,153.5137374832499968,56.9,400000
6.682,153.5137374832499968,57,320000
6.7,154.0034901984199675,57.1,480000
6.702,154.0198225206399907,57.2,400000
6.72,154.0198225206399907,57.3,400000
6.721,154.0198225206399907,57.4,400000
6.74,154.6565968369100116,57.5,400000
6.741,154.6565968369100116,57.6,400000
6.76,154.950532879139984,57.7,400000
6.762,154.950532879139984,57.8,400000
6.78,155.2282242278699863,57.9,400000
6.782,155.2282242278699863,58,400000
6.8,155.6364745372699751,58.1,400000
6.801,155.6364745372699751,58.2,400000
6.82,155.6691415791399883,58.3,400000
6.821,155.6691415791399883,58.4,80000
6.84,156.0284978294000091,58.5,640000
6.842,156.0284978294000091,58.6,400000
6.86,156.5186478729099797,58.7,400000
6.862,156.5186478729099797,58.8,400000
6.88,156.8126665035499621,58.9,400000
6.882,156.8126665035499621,59,80000
6.9,157.2701726249599681,59.1,640000
6.902,157.2701726249599681,59.2,400000
6.92,157.5153079662799762,59.3,400000
6.921,157.5153079662799762,59.4,400000
6.94,157.858474395049995,59.5,400000
6.942,157.858474395049995,59.6,400000
6.96,158.1853470771799828,59.7,400000
6.961,158.1853470771799828,59.8,400000
6.98,158.4796045438199591,59.9,240000
6.982,158.4796045438199591,,
7,158.904562447329965,,
7.002,158.904562447329965,,
7.02,158.904562447329965,,
7.021,158.904562447329965,,
7.04,159.5585073007899831,,
7.042,159.5585073007899831,,
7.06,159.8691879444799606,,
7.061,159.8691879444799606,,
7.08,160.1798735437299677,,
7.081,160.1798735437299677,,
7.1,160.5396228775699677,,
7.101,160.5396228775699677,,
7.12,160.7686473471100038,,
7.122,160.7686473471100038,,
7.14,161.1284048660600087,,
7.142,161.1284048660600087,,
7.16,161.4228908445099926,,
7.161,161.4228908445099926,,
7.18,161.651836638159977,,
7.181,161.651836638159977,,
7.2,162.1753336323499747,,
7.202,162.1753336323499747,,
7.22,162.502552094250006,,
7.221,162.502552094250006,,
7.24,162.502552094250006,,
7.242,162.8462081391099895,,
7.26,162.8462081391099895,,
7.261,162.8462081391099895,,
7.28,163.2061565158899721,,
7.281,163.2061565158899721,,
7.3,163.8116752306099776,,
7.301,163.8116752306099776,,
7.32,164.1063027302899962,,
7.321,164.1063027302899962,,
7.34,164.3682065781,,
7.341,164.3682065781,,
7.36,164.7774695978799847,,
7.361,164.7774695978799847,,
7.38,164.7774695978799847,,
7.381,164.7774695978799847,,
7.4,165.4486289545899915,,
7.401,165.4650015215999583,,
7.42,165.4650015215999583,,
7.422,165.8088391208399903,,
7.44,165.8088391208399903,,
7.441,165.8088391208399903,,
7.46,166.2018282393700013,,
7.461,166.2018282393700013,,
7.48,166.6439813346700013,,
7.482,166.6439813346700013,,
7.5,167.0861768131899788,,
7.502,167.0861768131899788,,
7.52,167.3155436867700126,,
7.521,167.3155436867700126,,
7.54,167.512034425730007,,
7.541,167.512034425730007,,
7.56,168.0689834887600106,,
7.562,168.0689834887600106,,
7.58,168.3966312296099652,,
7.582,168.3966312296099652,,
7.6,168.7243015073499915,,
7.602,168.7243015073499915,,
7.62,169.0356736233599683,,
7.621,169.0356736233599683,,
7.64,169.3305504913399766,,
7.642,169.3305504913399766,,
7.66,169.6091576915299577,,
7.662,169.6091576915299577,,
7.68,169.8549351452599575,,
7.681,169.8549351452599575,,
7.7,170.3629863973799835,,
7.701,170.3629863973799835,,
7.72,170.4449350572299971,,
7.721,170.4449350572299971,,
7.74,170.7891342392599647,,
7.742,170.7891342392599647,,
7.76,171.1497494015899856,,
7.762,171.1497494015899856,,
7.78,171.428424371510004,,
7.782,171.6907556959499738,,
7.8,172.0022154721499981,,
7.801,172.0022154721499981,,
7.82,172.313729234849972,,
7.821,172.313729234849972,,
7.84,172.6088650492999926,,
7.842,172.6088650492999926,,
7.86,172.9204156856299613,,
7.862,172.9204156856299613,,
7.88,173.2155862493199825,,
7.882,173.2155862493199825,,
7.9,173.64197331987998,,
7.901,173.64197331987998,,
7.92,173.64197331987998,,
7.921,173.9863882493299907,,
7.94,174.2980211726500093,,
7.942,174.3144295291899647,,
7.96,174.5932692847499645,,
7.961,174.5932692847499645,,
7.98,174.8393218936799933,,
7.982,174.8393218936799933,,
8,175.2822451006300066,,
8.001,175.2822451006300066,,
8.02,175.2822451006300066,,
8.022,175.2822451006300066,,
8.04,175.8400869517399762,,
8.041,175.8400869517399762,,
8.06,176.1517926097499746,,
8.061,176.1517926097499746,,
8.08,176.4964184741299952,,
8.082,176.6112960210600128,,
